user_name,week_number,game_number,squiggle_game_key,home_team,away_team,winning_team,selected_team,is_correct,source_tab
Henry,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Henry,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Henry,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Paulie,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Paulie,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Paulie,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Paulie,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Paulie,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Paulie,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Paulie,1,7,017,Adelaide,St Kilda,Adelaide,adelaide,1,Round 1
Paulie,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Paulie,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Jenni,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Jenni,1,2,012,Hawthorn,Essendon,Hawthorn,Essendon,0,Round 1
Jenni,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Jenni,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Jenni,1,5,015,Collingwood,Port Adelaide,Collingwood,Port Adelaide,0,Round 1
Jenni,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Jenni,1,7,017,Adelaide,St Kilda,Adelaide,adelaide,1,Round 1
Jenni,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
Jenni,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Charlee,1,1,011,Richmond,Carlton,Richmond,Richmond,1,Round 1
Charlee,1,2,012,Hawthorn,Essendon,Hawthorn,Essendon,0,Round 1
Charlee,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Charlee,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Sydney,0,Round 1
Charlee,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Charlee,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,North Melbourne,0,Round 1
Charlee,1,7,017,Adelaide,St Kilda,Adelaide,adelaide,1,Round 1
Charlee,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Melbourne,0,Round 1
Charlee,1,9,019,West Coast,Gold Coast,Gold Coast,West Coast,0,Round 1
Anne,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Anne,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Anne,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Anne,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Anne,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
Anne,1,6,016,Western Bulldogs,North Melbourne,Western Bulldogs,Western Bulldogs,1,Round 1
Anne,1,7,017,Adelaide,St Kilda,Adelaide,Adelaide,1,Round 1
Anne,1,8,018,Melbourne,Greater Western Sydney,Greater Western Sydney,Greater Western Sydney,1,Round 1
Anne,1,9,019,West Coast,Gold Coast,Gold Coast,Gold Coast,1,Round 1
Stephen,1,1,011,Richmond,Carlton,Richmond,Carlton,0,Round 1
Stephen,1,2,012,Hawthorn,Essendon,Hawthorn,Hawthorn,1,Round 1
Stephen,1,3,013,Geelong,Fremantle,Geelong,Geelong,1,Round 1
Stephen,1,4,014,Sydney,Brisbane Lions,Brisbane Lions,Brisbane Lions,1,Round 1
Stephen,1,5,015,Collingwood,Port Adelaide,Collingwood,Collingwood,1,Round 1
